date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:17:49	156068/156068	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:47%20GMT	http://localhost:8080/doutrina/transfusoes-de-sangue/	/home/thiago/websites/jeova/localhost_8080/doutrina/transfusoes-de-sangue/index.html	(from http://localhost:8080/)
09:17:49	70620/70620	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:48%20GMT	http://localhost:8080/mudancas/geracao/	/home/thiago/websites/jeova/localhost_8080/mudancas/geracao/index.html	(from http://localhost:8080/)
09:17:51	43485/43485	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:50%20GMT	http://localhost:8080/doutrina/mediador-somente-para-144-mil/	/home/thiago/websites/jeova/localhost_8080/doutrina/mediador-somente-para-144-mil/index.html	(from http://localhost:8080/)
09:17:51	31692/31692	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:50%20GMT	http://localhost:8080/doutrina/144-mil-literal-ou-figurativo/	/home/thiago/websites/jeova/localhost_8080/doutrina/144-mil-literal-ou-figurativo/index.html	(from http://localhost:8080/)
09:17:51	69336/69336	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:50%20GMT	http://localhost:8080/doutrina/grande-multidao-outras-ovelhas/	/home/thiago/websites/jeova/localhost_8080/doutrina/grande-multidao-outras-ovelhas/index.html	(from http://localhost:8080/)
09:17:51	7980/7980	---M-Z	200	added ('OK')	application/javascript	etag:%221f2c-57da260538227-gzip%22	http://localhost:8080/wp-content/themes/zerif-lite/js/smoothscroll.js?ver=20120206	/home/thiago/websites/jeova/localhost_8080/wp-content/themes/zerif-lite/js/smoothscroll11a8.js	(from http://localhost:8080/)
09:17:53	66916/66916	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:52%20GMT	http://localhost:8080/doutrina/paraiso-na-terra/	/home/thiago/websites/jeova/localhost_8080/doutrina/paraiso-na-terra/index.html	(from http://localhost:8080/)
09:17:53	9114/9114	---M-Z	200	added ('OK')	application/javascript	etag:%22239a-57da260538227-gzip%22	http://localhost:8080/wp-content/themes/zerif-lite/js/scrollReveal.js?ver=20120206	/home/thiago/websites/jeova/localhost_8080/wp-content/themes/zerif-lite/js/scrollReveal11a8.js	(from http://localhost:8080/)
09:17:53	16496/16496	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:52%20GMT	http://localhost:8080/doutrina/607-1914-sete-tempos/	/home/thiago/websites/jeova/localhost_8080/doutrina/607-1914-sete-tempos/index.html	(from http://localhost:8080/)
09:17:53	55034/55034	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:52%20GMT	http://localhost:8080/doutrina/ultimos-dias/	/home/thiago/websites/jeova/localhost_8080/doutrina/ultimos-dias/index.html	(from http://localhost:8080/)
09:17:55	35913/35913	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:54%20GMT	http://localhost:8080/fundamentos/1919-como-foi-calculado/	/home/thiago/websites/jeova/localhost_8080/fundamentos/1919-como-foi-calculado/index.html	(from http://localhost:8080/)
09:17:55	60756/60756	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:54%20GMT	http://localhost:8080/fundamentos/salvacao-somente-para-as-testemunhas-de-jeova/	/home/thiago/websites/jeova/localhost_8080/fundamentos/salvacao-somente-para-as-testemunhas-de-jeova/index.html	(from http://localhost:8080/)
09:17:55	69431/69431	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:54%20GMT	http://localhost:8080/fundamentos/orientados-por-espirito-santo/	/home/thiago/websites/jeova/localhost_8080/fundamentos/orientados-por-espirito-santo/index.html	(from http://localhost:8080/)
09:17:57	27146/27146	---M-Z	200	added ('OK')	application/javascript	etag:%226a0a-57da2605391c7-gzip%22	http://localhost:8080/wp-content/themes/zerif-lite/js/zerif.js?ver=20120206	/home/thiago/websites/jeova/localhost_8080/wp-content/themes/zerif-lite/js/zerif11a8.js	(from http://localhost:8080/)
09:17:57	37499/37499	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:56%20GMT	http://localhost:8080/fundamentos/profeta-de-jeova/	/home/thiago/websites/jeova/localhost_8080/fundamentos/profeta-de-jeova/index.html	(from http://localhost:8080/)
09:17:57	1403/1403	---M-Z	200	added ('OK')	application/javascript	etag:%2257b-577ec029723c0-gzip%22	http://localhost:8080/wp-includes/js/wp-embed.min.js?ver=5.0.2	/home/thiago/websites/jeova/localhost_8080/wp-includes/js/wp-embed.mince52.js	(from http://localhost:8080/)
09:17:57	38152/38152	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:56%20GMT	http://localhost:8080/fundamentos/organizacao-essencial-para-a-salvacao/	/home/thiago/websites/jeova/localhost_8080/fundamentos/organizacao-essencial-para-a-salvacao/index.html	(from http://localhost:8080/)
09:17:59	30877/30877	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:58%20GMT	http://localhost:8080/fundamentos/corpo-governante-no-primeiro-seculo-e-hoje/	/home/thiago/websites/jeova/localhost_8080/fundamentos/corpo-governante-no-primeiro-seculo-e-hoje/index.html	(from http://localhost:8080/)
09:17:59	55658/55658	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:57%20GMT	http://localhost:8080/fundamentos/escravo-fiel-e-discreto/	/home/thiago/websites/jeova/localhost_8080/fundamentos/escravo-fiel-e-discreto/index.html	(from http://localhost:8080/)
09:17:59	45670/45670	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:58%20GMT	http://localhost:8080/mudancas/1925-2/	/home/thiago/websites/jeova/localhost_8080/mudancas/1925-2/index.html	(from http://localhost:8080/)
09:17:59	56739/56739	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:17:58%20GMT	http://localhost:8080/mudancas/apocalipse-e-daniel/	/home/thiago/websites/jeova/localhost_8080/mudancas/apocalipse-e-daniel/index.html	(from http://localhost:8080/)
09:18:01	25/25	---M--	200	added ('OK')	text/plain	etag:%224e536a-19-3ef0a6a1b08c0%22	http://gmpg.org/robots.txt		(from http://localhost:8080/)
09:18:01	2067/2067	---M--	200	added ('OK')	text/css	etag:%225a6f7b-813-3ef0a663b3680%22	http://gmpg.org/xfn/default.css	/home/thiago/websites/jeova/gmpg.org/xfn/default.css	(from http://gmpg.org/xfn/11)
09:18:02	699/699	---MC-	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:18:01%20GMT	http://gmpg.org/xfn/.	/home/thiago/websites/jeova/gmpg.org/xfn/.html	(from http://gmpg.org/xfn/11)
09:18:03	1472/1472	---MC-	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:18:02%20GMT	http://gmpg.org/xfn/intro	/home/thiago/websites/jeova/gmpg.org/xfn/intro.html	(from http://gmpg.org/xfn/11)
09:18:04	646/646	---MC-	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2011:18:03%20GMT	http://gmpg.org/xfn/faq	/home/thiago/websites/jeova/gmpg.org/xfn/faq.html	(from http://gmpg.org/xfn/11)
09:18:06	51/51	---MCZ	200	added ('OK')	text/plain	date:Tue,%2025%20Dec%202018%2011:18:05%20GMT	http://fonts.googleapis.com/robots.txt		(from http://localhost:8080/)
09:18:06	237/237	---M--	200	added ('OK')	text/plain	date:Fri,%2012%20Jan%202018%2003:07:58%20GMT	http://s.w.org/robots.txt		(from http://localhost:8080/)
09:18:07	2237/2237	---M--	200	added ('OK')	application/json	date:Tue,%2025%20Dec%202018%2011:18:07%20GMT	http://localhost:8080/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A8080%2Fcitacoes%2F	/home/thiago/websites/jeova/localhost_8080/wp-json/oembed/1.0/embeddc9c.json	(from http://localhost:8080/citacoes/)
